92.00,95.90,1875,5.80,6.60,,
87.40,91.30,1880,5.80,7.00,,
82.90,86.70,1885,6.20,7.50,,
78.40,82.20,1890,6.70,8.00,,
74.00,77.70,1895,7.20,8.60,,
69.60,73.20,1900,7.80,8.80,,
66.00,68.50,1905,8.50,9.50,,
61.60,64.10,1910,9.10,10.20,,
57.40,59.80,1915,9.90,11.30,,
53.30,55.60,1920,10.70,12.10,,
49.10,51.20,1925,11.60,12.60,,
45.20,47.30,1930,12.50,14.00,,
41.20,43.40,1935,13.60,14.70,,
37.40,39.50,1940,14.70,15.80,,
33.70,35.70,1945,15.90,17.20,,
30.10,32.10,1950,17.70,18.80,,
26.70,28.50,1955,19.00,20.50,,
23.40,25.10,1960,20.60,22.00,,
20.30,21.80,1965,22.30,24.00,,
17.40,18.80,1970,24.30,25.80,,
14.60,15.90,1975,26.50,28.10,,
12.20,13.30,1980,28.90,30.60,,
9.90,11.00,1985,31.40,33.20,,
7.90,9.00,1990,34.30,36.50,,
6.20,7.10,1995,37.40,39.70,,
4.70,5.20,2000,40.70,43.20,,
3.40,4.20,2005,44.00,47.70,,
2.65,3.10,2010,48.00,51.40,,
1.75,2.30,2015,52.20,56.00,,
1.20,1.70,2020,56.60,60.40,,
1.00,1.25,2025,61.20,65.00,,
0.45,1.00,2030,65.90,69.70,,
0.25,0.80,2035,70.70,74.40,,
0.35,0.65,2040,75.60,79.30,,
0.20,0.60,2045,80.50,84.10,,
0.20,0.30,2050,85.40,89.00,,
0.15,0.50,2055,90.40,94.00,,
0.15,0.30,2060,95.30,98.90,,
0.15,0.20,2065,100.30,103.90,,
0.10,0.20,2070,105.30,108.90,,
0.10,0.20,2075,110.30,113.80,,
0.05,0.45,2080,115.30,118.80,,
0.05,0.40,2085,120.30,123.80,,
0.05,0.15,2090,125.30,128.80,,
0.05,0.35,2095,130.30,133.80,,
0.05,0.15,2100,135.30,138.80,,
0.00,0.15,2120,155.30,158.80,,
0.05,0.15,2125,160.30,163.80,,
0.00,0.10,2150,185.20,188.80,,
0.00,0.05,2175,210.20,213.70,,
0.00,0.05,2200,235.20,238.70,,
0.05,0.10,2225,260.20,263.70,,
0.00,0.05,2250,285.20,288.70,,
